new,charcount,wordcount,sentencecount,number of standby,standby,roadblock,roadblock number,change in charcount,change in wordcount,change in sentencecount,chars produced,words produced,sentences produced,chars deleted,words deleted,sentences deleted,time (s),min time (s),5rSUMMARY wordcount,5rSUMMARY sentencecount,5rSUMMARY standby,5rSUMMARY number of standby,5rSUMMARY roadblock number,5rSUMMARY words produced,5rSUMMARY sentences produced,5rSUMMARY words deleted,5rSUMMARY sentences deleted,5rSUMMARY change in wordcount,5rSUMMARY change in sentencecount
False,816,130,5,11,False,False,1,10.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,277.68953919410706,277.68950510025024,71.58490566037736,3.0943396226415096,0.2075471698113207,2.8867924528301887,0.6981132075471698,130.0,5.0,0.0,0.0,130.0,5.0
False,844,135,5,11,False,False,1,28.0,5.0,0.0,28.0,5.0,0.0,0.0,0.0,0.0,282.9803020954132,282.9802372455597,72.75925925925925,3.1296296296296298,0.2037037037037037,3.037037037037037,0.7037037037037037,135.0,5.0,0.0,0.0,135.0,5.0
False,872,141,5,11,False,False,1,28.0,6.0,0.0,28.0,6.0,0.0,0.0,0.0,0.0,288.2749283313751,288.2748873233795,74.0,3.163636363636364,0.2,3.1818181818181817,0.7090909090909091,141.0,5.0,0.0,0.0,141.0,5.0
False,885,142,5,11,False,False,1,13.0,1.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,293.5745680332184,293.57454800605774,75.21428571428571,3.196428571428572,0.1964285714285714,3.321428571428572,0.7142857142857143,142.0,5.0,0.0,0.0,142.0,5.0
True,886,142,5,11,False,False,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,298.88099217414856,293.57454800605774,76.3859649122807,3.2280701754385963,0.1929824561403508,3.456140350877193,0.7192982456140351,142.0,5.0,0.0,0.0,142.0,5.0
True,886,142,5,11,False,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.1923882961273,293.57454800605774,77.51724137931035,3.2586206896551726,0.1896551724137931,3.586206896551724,0.7241379310344828,142.0,5.0,0.0,0.0,142.0,5.0
False,906,144,5,11,False,False,1,20.0,2.0,0.0,20.0,2.0,0.0,0.0,0.0,0.0,309.5068871974945,309.50684809684753,78.64406779661017,3.288135593220339,0.1864406779661017,3.711864406779661,0.7288135593220338,144.0,5.0,0.0,0.0,144.0,5.0
False,907,145,5,11,False,False,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,314.81368708610535,314.81363105773926,79.75,3.316666666666667,0.1833333333333333,3.8333333333333335,0.7333333333333333,145.0,5.0,0.0,0.0,145.0,5.0
False,915,146,5,11,False,False,1,8.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,320.1791081428528,320.1790771484375,82.18333333333334,3.4,0.1833333333333333,4.016666666666667,0.75,146.0,5.0,0.0,0.0,146.0,5.0
False,957,155,5,11,False,False,1,42.0,9.0,0.0,42.0,9.0,0.0,0.0,0.0,0.0,325.5066790580749,325.5066361427307,84.76666666666667,3.4833333333333334,0.1833333333333333,4.2,0.7666666666666667,155.0,5.0,0.0,0.0,155.0,5.0
